"V1" "V2" "V3" "V4" "V5"
"1" "almirante_442.jpg" 2 2 0.00302571860816944 1
"2" "rodrigues_1762.jpg" 1 1 0.00151285930408472 1
"3" "rodrigues_1582.jpg" 1 1 0.00151285930408472 1
"6" "rodrigues_202.jpg" 1 1 0.00151285930408472 1
"7" "rodrigues_622.jpg" 2 2 0.00302571860816944 1
"9" "floriano_962.jpg" 2 2 0.00302571860816944 1
"13" "almirante_1722.jpg" 1 1 0.00151285930408472 1
"14" "almirante_1062.jpg" 2 2 0.00302571860816944 1
"18" "almirante_1762.jpg" 3 3 0.00453857791225416 1
"19" "floriano_3982.jpg" 1 1 0.00151285930408472 1
"20" "floriano_2322.jpg" 1 1 0.00151285930408472 1
"21" "floriano_5482.jpg" 1 1 0.00151285930408472 1
"22" "floriano_1722.jpg" 1 1 0.00151285930408472 1
"23" "almirante_42.jpg" 1 1 0.00151285930408472 1
"25" "floriano_1742.jpg" 1 1 0.00151285930408472 1
"26" "rodrigues_1202.jpg" 1 1 0.00151285930408472 1
"28" "floriano_442.jpg" 3 3 0.00453857791225416 1
"31" "almirante_1142.jpg" 1 1 0.00151285930408472 1
"32" "almirante_1482.jpg" 2 2 0.00302571860816944 1
"33" "almirante_1742.jpg" 1 1 0.00151285930408472 1
"34" "almirante_1502.jpg" 3 3 0.00453857791225416 1
"35" "rodrigues_282.jpg" 3 3 0.00453857791225416 1
"36" "floriano_122.jpg" 1 1 0.00151285930408472 1
"37" "rodrigues_742.jpg" 1 1 0.00151285930408472 1
"38" "almirante_242.jpg" 3 3 0.00453857791225416 1
"39" "almirante_1922.jpg" 2 2 0.00302571860816944 1
"41" "rodrigues_922.jpg" 1 1 0.00151285930408472 1
"44" "rodrigues_402.jpg" 2 2 0.00302571860816944 1
"47" "almirante_1182.jpg" 1 1 0.00151285930408472 1
"48" "rodrigues_1882.jpg" 1 1 0.00151285930408472 1
"49" "rodrigues_762.jpg" 2 2 0.00302571860816944 1
"50" "rodrigues_342.jpg" 1 1 0.00151285930408472 1
"51" "rodrigues_482.jpg" 1 1 0.00151285930408472 1
"52" "rodrigues_102.jpg" 1 1 0.00151285930408472 1
"10" "almirante_1282.jpg" 2 3 0.00302571860816944 0.666666666666667
"15" "rodrigues_582.jpg" 2 3 0.00302571860816944 0.666666666666667
"16" "almirante_1942.jpg" 2 3 0.00302571860816944 0.666666666666667
"24" "rodrigues_122.jpg" 2 3 0.00302571860816944 0.666666666666667
"29" "rodrigues_1082.jpg" 2 3 0.00302571860816944 0.666666666666667
"56" "rodrigues_182.jpg" 2 3 0.00302571860816944 0.666666666666667
"4" "floriano_7122.jpg" 3 5 0.00453857791225416 0.6
"8" "almirante_1082.jpg" 1 2 0.00151285930408472 0.5
"12" "almirante_622.jpg" 2 4 0.00302571860816944 0.5
"27" "rodrigues_222.jpg" 1 2 0.00151285930408472 0.5
"30" "almirante_1842.jpg" 1 2 0.00151285930408472 0.5
"40" "almirante_1042.jpg" 1 2 0.00151285930408472 0.5
"42" "floriano_7742.jpg" 1 2 0.00151285930408472 0.5
"43" "almirante_342.jpg" 1 2 0.00151285930408472 0.5
"45" "floriano_8482.jpg" 1 2 0.00151285930408472 0.5
"53" "almirante_2022.jpg" 1 2 0.00151285930408472 0.5
"54" "rodrigues_1742.jpg" 2 4 0.00302571860816944 0.5
"57" "almirante_1982.jpg" 1 2 0.00151285930408472 0.5
"55" "rodrigues_1322.jpg" 4 9 0.00605143721633888 0.444444444444444
"5" "floriano_6202.jpg" 1 3 0.00151285930408472 0.333333333333333
"17" "almirante_462.jpg" 1 3 0.00151285930408472 0.333333333333333
"46" "rodrigues_1702.jpg" 1 3 0.00151285930408472 0.333333333333333
"11" "floriano_8602.jpg" 1 4 0.00151285930408472 0.25
