_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1__left_side,question1__right_side,question2__left_side,question2__right_side,question3__left_side,question3__right_side,seeside,group,image_url,question1,question1__left_side_gold,question1__right_side_gold,question2,question2__left_side_gold,question2__right_side_gold,question3,question3__left_side_gold,question3__right_side_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
804335880,10/22/2015 16:22:46,false,1778596249,,10/22/2015 16:17:32,false,neodev,0.8,30586572,ECU,04,Azoguez,186.5.62.25,,4,,4,,4,Right,3,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335881,10/23/2015 12:56:26,false,1779512479,,10/23/2015 12:44:42,false,clixsense,0.7778,8941631,BRA,21,Rio De Janeiro,179.210.11.135,4,4,4,4,3,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335882,10/26/2015 14:35:34,false,1782437273,,10/26/2015 14:34:21,false,gifthunterclub,0.8889,32455358,VEN,"","",190.73.185.48,,4,,4,,5,Right,3,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335883,10/28/2015 18:04:16,false,1784397418,,10/28/2015 18:01:27,false,neodev,0.8,21296943,ROU,03,Mioveni,79.115.72.161,3,3,4,4,4,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335884,10/28/2015 18:04:16,false,1784397415,,10/28/2015 18:01:27,false,neodev,0.8,21296943,ROU,03,Mioveni,79.115.72.161,3,3,4,4,4,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335885,10/23/2015 13:02:55,false,1779526971,,10/23/2015 12:57:39,false,clixsense,0.7778,8941631,BRA,21,Rio De Janeiro,179.210.11.135,3,3,3,3,3,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335886,10/28/2015 17:53:08,false,1784390040,,10/28/2015 17:49:28,false,neodev,0.8,21296943,ROU,03,Mioveni,79.115.72.161,4,3,4,3,4,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335887,10/28/2015 18:01:25,false,1784395760,,10/28/2015 17:59:35,false,neodev,0.8,21296943,ROU,03,Mioveni,79.115.72.161,4,4,4,4,4,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335889,10/28/2015 20:10:46,false,1784483618,,10/28/2015 20:08:55,false,neodev,0.875,32515422,VEN,"","",201.209.183.249,4,5,4,5,4,5,"left
Right",3,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335890,10/26/2015 14:24:14,false,1782428889,,10/26/2015 14:19:41,false,clixsense,0.7778,8941631,BRA,21,Rio De Janeiro,179.210.11.135,,3,,3,,3,Right,3,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
