_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,for_the_left_side_your_answer_is,question11,question12,question1__left_side,question1__right_side,question2__left_side,question2__right_side,seeside,group,image_url,question1,question1__left_side_gold,question1__right_side_gold,question2,question2__left_side_gold,question2__right_side_gold,question3,seeside_gold,step1,step2,step3,tip1,tip2,tip3
799092655,10/20/2015 20:28:42,false,1776701026,,10/20/2015 20:27:54,false,cf_internal,1.0,34835246,BRA,17,Campina Grande,150.165.85.232,,,,0.7,1,0,0,"left
Right",6,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092655,10/28/2015 14:18:54,false,1784258103,,10/28/2015 14:17:38,false,cf_internal,0.8,34864111,BRA,17,Campina Grande,150.165.85.232,,,,0.8,1,0,0,"left
Right",6,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092659,10/21/2015 20:52:23,false,1777850974,,10/21/2015 20:50:31,false,clixsense,0.7273,21665495,CAN,"","",24.105.69.70,,,,0.6,0.5,0,0,"left
Right",6,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092659,10/23/2015 18:31:35,false,1779755029,,10/23/2015 18:22:07,false,neodev,0.75,34307510,IND,16,Mumbai,182.59.186.69,,,,0.9,1,0,0,"left
Right",6,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092660,10/20/2015 20:23:15,false,1776690505,,10/20/2015 20:21:23,false,cf_internal,1.0,34835246,BRA,17,Campina Grande,150.165.85.232,,,,1,1,0,0,"left
Right",6,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092660,10/28/2015 10:08:12,false,1784119716,,10/28/2015 10:06:55,false,clixsense,0.7273,21665495,CAN,"","",24.105.69.70,,,,0.6,0.7,0,0,"left
Right",6,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092661,10/20/2015 20:24:29,false,1776692600,,10/20/2015 20:23:16,false,cf_internal,1.0,34835246,BRA,17,Campina Grande,150.165.85.232,,,,,1,,0,Right,6,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092661,10/28/2015 10:09:58,false,1784120573,,10/28/2015 10:08:57,false,clixsense,0.7273,21665495,CAN,"","",24.105.69.70,,,,0.5,,0,,left,6,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092661,10/28/2015 10:28:22,false,1784129783,,10/28/2015 10:24:04,false,neodev,0.8,34413378,EGY,"","",197.41.53.22,,,,0.4,0.5,0.2,0.3,"left
Right",6,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
799092672,10/20/2015 20:25:46,false,1776694735,,10/20/2015 20:24:30,false,cf_internal,1.0,34835246,BRA,17,Campina Grande,150.165.85.232,,,,1,1,0,0,"left
Right",6,https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg,Estimate the proportion of street wall on each side of the street,,,Estimate the proportion of street-level facade that is covered by windows of any site on each side of the street,,,,,Proportion of street wall,Proportion Window,,"Street wall: the effect achieved when structures on a block continuously front the sidewalk/path providing a defined street-edge and feeling like a wall. A facade or wall over 5 feet contributes to the street wall if it is set back no more than 10 feet from the sidewalk/path edge. Gates/fences, greenery, or both over 5 feet tall that obstruct more than 60 percent of your view of the space beyond also count. Lawns, lots, driveways, and alleys break the street wall|Record the proportion estimates (use decimal increments of 0.10)|Cross streets do not count as breaks in the street wall|If brownstones with stairs coming down to the sidewalk are set back no more than about 10 feet, they create a street wall","Record the proportion out of the whole block seen (use decimal increments of 0.10)|Include only the windows at street level|If the building is being constructed behind a partition or does not have all of its walls yet, windows do not exist for the lot|Consider any type of window (cloudy windows, windows made of reflective glass, curtains drawn, etc.)",
