_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2__left_side,question2_right_side,question3__left_side,question3_right_side,seeside,group,image_url,orig_question1,question1_gold,question2,question2__left_side_gold,question2_right_side_gold,question3,question3__left_side_gold,question3_right_side_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
799092973,10/20/2015 16:11:32,false,1776179638,,10/20/2015 16:09:16,false,neodev,0.8,33119802,VEN,"","",190.199.221.3,No,,4,,0,Right,8,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092973,10/20/2015 19:36:11,false,1776602349,,10/20/2015 19:29:27,false,neodev,0.7,32173405,VEN,13,Barquisimeto,190.142.137.43,No,,4,,0,Right,8,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092974,10/22/2015 20:07:43,false,1778787960,,10/22/2015 20:02:59,false,clixsense,0.6,27975625,PHL,D9,Pasig City,121.54.44.90,No,,0,,0,Right,8,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092975,10/21/2015 21:10:53,false,1777864538,,10/21/2015 21:07:48,false,neodev,0.8,32884854,HUN,15,Pécs,92.249.213.154,No,,4,,3,Right,8,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092975,10/22/2015 00:11:14,false,1777986690,,10/22/2015 00:03:36,false,neodev,0.6667,25185311,USA,PA,Kutztown,72.92.64.55,No,,2,,0,Right,8,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092975,10/22/2015 06:14:25,false,1778175504,,10/22/2015 06:12:37,false,clixsense,0.7,7604015,ROU,"","",46.97.2.198,No,0,2,0,0,"left
Right",8,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092975,10/22/2015 08:13:42,false,1778235365,,10/22/2015 08:11:05,false,neodev,0.8333,34864941,OMN,06,Muscat,188.135.8.75,No,,2,,2,Right,8,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092975,10/22/2015 10:42:39,false,1778340424,,10/22/2015 10:41:23,false,neodev,0.625,11042210,ESP,58,A Coruña,79.150.72.220,No,,1,,0,Right,8,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092976,10/21/2015 21:14:09,false,1777866649,,10/21/2015 21:11:34,false,neodev,0.8,32884854,HUN,15,Pécs,92.249.213.154,No,6,,0,,left,8,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
799092976,10/22/2015 12:20:19,false,1778383470,,10/22/2015 12:15:25,false,clixsense,0.6,27975625,PHL,D9,Pasig City,121.54.44.90,No,8,,0,,left,8,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Is there graffiti in any part of the image?,,Count street trees on each side of the street and on the median strip (if one is present),,,Count visible street-level small planters within 10 feet (3.04 meters) of the sidewalk edge on each side of the street,,,,Grafiti,Street Trees,Small Planters,,"If a median strip exists, consider the number of trees on it on each side counter","Small planters: any potted arrangement of trees, shrubs, or flowers that are smaller than 10 square feet at their base. The planter should be within 10 feet of the sidewalk edge and appear to be permanent (not small enough to be able to be brought inside at the end of the day) but not inground|Count the planter even if the plants are dead because there is the intention of a planter|If the plant is behind a fence, but you can see the planter, it is less than 10 feet from the sidewalk edge, and it is not within an enclosed park or garden, you may count it"
