"V2"	"V3.Baixa"	"V3.Media"	"residuals"	"residualsPos"
"128"	"catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg"	2.18889634054	3.95247629194	-1.97696010266927	1.97696010266927
"1502"	"centro/Rua_Felix_Araujo__48__90.jpg"	2.36233152036	3.96612409411	-1.81464527035511	1.81464527035511
"1080"	"centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg"	4.17181082578	6.08339954847	-1.73034035746957	1.73034035746957
"577"	"catole/Rua_Olegario_Mariano__139_0.jpg"	6.14179551089	4.2603067982	1.72511610293748	1.72511610293748
"2520"	"liberdade/Rua_Sergipe__1337_90.jpg"	1.69124222674	2.8560626513	-1.58124687847717	1.58124687847717
"2439"	"liberdade/Rua_Santa_Catarina__1231__0.jpg"	5.23737991287	3.5596539225	1.3915985412236	1.3915985412236
"968"	"centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg"	4.20464176567	2.3442885963	1.34915059647075	1.34915059647075
"229"	"catole/Rua_Doutor_Antonio_Telha__235_0.jpg"	3.78043617665	5.11464057301	-1.3323617962934	1.3323617962934
"1190"	"centro/Rua_Capitao_Joao_de_Sa__45__0.jpg"	4.34501384311	2.56512157934	1.30958604517258	1.30958604517258
"1480"	"centro/Rua_Felix_Araujo__48__270.jpg"	4.94850103434	3.3231418811	1.29543172408793	1.29543172408793
"1623"	"centro/Rua_Manoel_P._de_Araujo__370_0.jpg"	2.02403896393	2.77894564826	-1.18561453876807	1.18561453876807
"249"	"catole/Rua_Doutor_Antonio_Telha__235_180.jpg"	4.60233396352	5.92746616798	-1.1727613496921	1.1727613496921
"1353"	"centro/Rua_Elias_Aforas__202_0.jpg"	3.84595406839	4.99844587778	-1.17216745971655	1.17216745971655
"620"	"catole/Rua_Olegario_Mariano__139_270.jpg"	7.84466581545	7.0417975263	1.16160365257123	1.16160365257123
"1026"	"centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg"	3.44472733084	4.45493724221	-1.13053864992817	1.13053864992817
"1956"	"liberdade/Rua_Espirito_Santo__1288__180.jpg"	4.10070638017	5.22805085574	-1.10449927417026	1.10449927417026
"2487"	"liberdade/Rua_Santa_Catarina__1231__180.jpg"	3.43403018695	4.34401537828	-1.05085569762891	1.05085569762891
"649"	"catole/Rua_Olegario_Mariano__139_90.jpg"	6.73444575311	5.84449673757	1.0269546509663	1.0269546509663
"923"	"centro/Avenida_Dom_Pedro_II__500_270.jpg"	6.16216522815	5.16162740415	1.01108197791679	1.01108197791679
"605"	"catole/Rua_Olegario_Mariano__139_180.jpg"	5.46312905095	4.37750466508	0.950955805204822	0.950955805204822
"2553"	"liberdade/Rua_Severino_Pimentel__321__0.jpg"	5.42576479674	4.45094370838	0.853752781952045	0.853752781952045
"2616"	"liberdade/Rua_Severino_Pimentel__439__0.jpg"	6.19241705493	5.41081418154	0.838294258554526	0.838294258554526
"2023"	"liberdade/Rua_Odon_Bezerra__147_90.jpg"	5.38404810582	4.44849887417	0.814028163137919	0.814028163137919
"936"	"centro/Avenida_Dom_Pedro_II__500_90.jpg"	6.16639542087	5.4364646079	0.791372434761188	0.791372434761188
"2685"	"liberdade/Rua_Severino_Pimentel__511_90.jpg"	4.49854279013	5.30844186146	-0.772166152491739	0.772166152491739
"1892"	"liberdade/Rua_Edesio_Silva__602__0.jpg"	6.36513965682	5.71869571405	0.760152319070494	0.760152319070494
