                                                                    V2 V3.Jovem V3.Adulto   residuals residualsPos
510                         catole/Rua_Joao_Francisco_Mota__64__90.jpg 8.209484  6.967081  2.81269560   2.81269560
949                            centro/Avenida_Dom_Pedro_II__500_90.jpg 7.205152  3.333333  2.74084762   2.74084762
1319                      centro/Rua_Doutor_Severino_Cruz__411__90.jpg 8.050144  7.415906  2.53817850   2.53817850
1043            centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg 2.654938  4.614278 -2.13808001   2.13808001
1658                       centro/Rua_Manoel_P._de_Araujo__370_180.jpg 2.164824  1.737780 -1.89003341   1.89003341
1688                      centro/Rua_Pedro_Alvares_Cabral__129_180.jpg 3.387447  6.409115 -1.86615801   1.86615801
1894                            liberdade/Rua_Edesio_Silva__602__0.jpg 5.939768  1.967896  1.82585822   1.82585822
231                         catole/Rua_Doutor_Antonio_Telha__235_0.jpg 2.813995  4.011576 -1.82435895   1.82435895
1150                               centro/Rua_Augusto_Severo__71_0.jpg 3.148734  5.111184 -1.77179836   1.77179836
413                    catole/Rua_Inacio_Marques_da_Silva__434_270.jpg 7.294630  7.500000  1.76108517   1.76108517
1120                centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg 6.753310  5.804330  1.65490394   1.65490394
374                           catole/Rua_Honorio_de_Melo__240__270.jpg 6.124462  3.500000  1.61738804   1.61738804
696                          catole/Rua_Otacilio_Nepomuceno__76_90.jpg 5.939755  2.839916  1.60207010   1.60207010
885                           centro/Avenida_Dom_Pedro_II__119_270.jpg 3.764930  6.791975 -1.58692304   1.58692304
1725                            centro/Rua_Quebra_Quilos__399__270.jpg 6.530993  5.302471  1.56137298   1.56137298
267                       catole/Rua_Doutor_Antonio_Telha__68__270.jpg 3.455976  5.370370 -1.53106889   1.53106889
1037             centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg 3.245133  4.444444 -1.50430240   1.50430240
640                           catole/Rua_Olegario_Mariano__139_270.jpg 6.915463  7.246915  1.44686405   1.44686405
570                             catole/Rua_Olegario_Mariano__139_0.jpg 6.090011  4.110782  1.42619927   1.42619927
2454                         liberdade/Rua_Santa_Catarina__1231__0.jpg 3.333756  4.386864 -1.40090382   1.40090382
1667                      centro/Rua_Pedro_Alvares_Cabral__129_180.jpg 4.068908  7.222222 -1.39335468   1.39335468
1301                     centro/Rua_Doutor_Severino_Cruz__411__270.jpg 6.768376  7.037037  1.35363503   1.35363503
1450                              centro/Rua_Felix_Araujo__132__90.jpg 2.874888  2.206036 -1.30013186   1.30013186
400                            catole/Rua_Honorio_de_Melo__240__90.jpg 6.500665  6.214378  1.29703341   1.29703341
2432                             liberdade/Rua_Riachuelo__930__180.jpg 3.331323  3.955207 -1.29256576   1.29256576
1446                             centro/Rua_Felix_Araujo__132__270.jpg 4.051107  6.710884 -1.27993697   1.27993697
1110               centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg 6.164965  5.000000  1.27296383   1.27296383
1906                          liberdade/Rua_Edesio_Silva__602__180.jpg 2.826579  1.891637 -1.26776087   1.26776087
157                  catole/Rua_Deputado_Ascendino_Moura__101__270.jpg 5.885252  3.951027  1.26243623   1.26243623
2072                            liberdade/Rua_Odon_Bezerra__306_90.jpg 6.276686  5.930771  1.14583256   1.14583256
1992                           liberdade/Rua_Odon_Bezerra__147_270.jpg 5.863234  4.368879  1.13319019   1.13319019
1443                             centro/Rua_Felix_Araujo__132__270.jpg 3.476055  3.727550 -1.08941262   1.08941262
2216                     liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg 3.902832  5.388050 -1.08874902   1.08874902
1060            centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg 3.696668  4.401684 -1.04179409   1.04179409
2055                            liberdade/Rua_Odon_Bezerra__306_90.jpg 5.190564  2.116259  1.03858236   1.03858236
147                  catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg 4.290466  6.687425 -1.03455829   1.03455829
984             centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg 5.190922  2.144365  1.03172698   1.03172698
2627                     liberdade/Rua_Severino_Pimentel__439__180.jpg 4.266099  6.576436 -1.03044286   1.03044286
406                            catole/Rua_Honorio_de_Melo__240__90.jpg 6.013384  5.359055  1.02924303   1.02924303
2129                           liberdade/Rua_Odon_Bezerra__388__90.jpg 5.996936  5.351116  1.01483246   1.01483246
346   catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg 6.365811  6.827293  1.00489423   1.00489423
2684                       liberdade/Rua_Severino_Pimentel__511_90.jpg 4.080353  5.722571 -0.99707247   0.99707247
1510                               centro/Rua_Felix_Araujo__48__90.jpg 3.688926  4.016997 -0.95081869   0.95081869
1597                        centro/Rua_Manoel_P._de_Araujo__150_90.jpg 3.494797  3.257203 -0.94997178   0.94997178
714                          catole/Rua_Otacilio_Nepomuceno__76_90.jpg 5.508248  3.725906  0.94320224   0.94320224
1792                liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg 3.686070  3.967915 -0.94107959   0.94107959
1530                              centro/Rua_Joao_da_Mata__490_270.jpg 4.926007  8.797869 -0.94059433   0.94059433
451                     catole/Rua_Inacio_Marques_da_Silva__434_90.jpg 3.926422  4.879670 -0.93470033   0.93470033
112                 catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg 3.534300  3.333333 -0.93000515   0.93000515
2483                       liberdade/Rua_Santa_Catarina__1231__180.jpg 3.313956  2.423362 -0.91683360   0.91683360
1265                 centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg 3.792807  4.266681 -0.91101169   0.91101169
1840                                   liberdade/Rua_Acre__635_270.jpg 4.373491  6.518519 -0.90818842   0.90818842
721                  catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg 5.372266  3.333333  0.90796079   0.90796079
439                     catole/Rua_Inacio_Marques_da_Silva__434_90.jpg 3.865082  4.535135 -0.90762585   0.90762585
1106               centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg 5.974490  5.704470  0.90170912   0.90170912
1008            centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg 5.621734  4.444444  0.87229890   0.87229890
1337                                centro/Rua_Elias_Aforas__202_0.jpg 4.450046  6.666667 -0.86965073   0.86965073
2341                               liberdade/Rua_Riachuelo__847__0.jpg 4.777090  7.901069 -0.85937607   0.85937607
612                           catole/Rua_Olegario_Mariano__139_180.jpg 5.185391  2.897364  0.83296362   0.83296362
110                 catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg 3.846696  4.148485 -0.82679068   0.82679068
1207                        centro/Rua_Capitao_Joao_de_Sa__45__180.jpg 3.409991  2.438051 -0.82456857   0.82456857
564                          catole/Rua_Luisa_Bezerra_Mota__246_90.jpg 6.103821  6.514084  0.82327895   0.82327895
1076             centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg 6.002387  6.121157  0.82267770   0.82267770
435                    catole/Rua_Inacio_Marques_da_Silva__434_270.jpg 5.706863  5.032342  0.80656251   0.80656251
1989                           liberdade/Rua_Odon_Bezerra__147_270.jpg 5.158433  2.907774  0.80333418   0.80333418
1208                        centro/Rua_Capitao_Joao_de_Sa__45__180.jpg 4.005023  4.666667 -0.80143846   0.80143846
2298                               liberdade/Rua_Riachuelo__455__0.jpg 3.380142  2.191013 -0.79102294   0.79102294
1573                       centro/Rua_Manoel_P._de_Araujo__150_270.jpg 3.429767  2.335620 -0.77850691   0.77850691
1192                          centro/Rua_Capitao_Joao_de_Sa__45__0.jpg 3.748755  3.577425 -0.77818813   0.77818813
861                        centro/Avenida_Barao_Rio_Branco__141_90.jpg 5.594244  4.715806  0.77517243   0.77517243
2243                    liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg 4.290081  5.619270 -0.76083581   0.76083581
1542                              centro/Rua_Joao_da_Mata__490_270.jpg 4.020747  4.556429 -0.75742604   0.75742604
2083                          liberdade/Rua_Odon_Bezerra__388__270.jpg 4.945171  2.280488  0.75104510   0.75104510
148                  catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg 5.761969  5.465358  0.75054937   0.75054937
1711                       centro/Rua_Pedro_Alvares_Cabral__129_90.jpg 4.164033  5.073048 -0.74671366   0.74671366
2165                     liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg 5.386447  4.053785  0.73726165   0.73726165
2392                               liberdade/Rua_Riachuelo__930__0.jpg 6.346742  7.797239  0.73691996   0.73691996
351   catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg 5.474706  4.436343  0.72734930   0.72734930
72                         catole/Rua_Aluisio_Cunha_Linha__50__270.jpg 4.442824  6.080450 -0.72643947   0.72643947
671                           catole/Rua_Otacilio_Nepomuceno__76_0.jpg 4.112749  4.792657 -0.72604445   0.72604445
192                   catole/Rua_Deputado_Ascendino_Moura__101__90.jpg 4.751203  1.666667  0.71459444   0.71459444
2169                     liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg 4.747816  7.178714 -0.70328120   0.70328120
1340                                centro/Rua_Elias_Aforas__202_0.jpg 3.570862  2.552530 -0.69307519   0.69307519
962               centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg 3.957684  4.058800 -0.69278807   0.69278807
1952                       liberdade/Rua_Espirito_Santo__1288__180.jpg 4.011019  4.216646 -0.67995963   0.67995963
1241                centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 5.762199  5.762323  0.67457206   0.67457206
1566                               centro/Rua_Joao_da_Mata__490_90.jpg 4.645643  6.666667 -0.67405390   0.67405390
1381                                centro/Rua_Elias_Aforas__67__0.jpg 5.279370  3.892673  0.67152880   0.67152880
1371                              centro/Rua_Elias_Aforas__202_180.jpg 3.792792  3.333333 -0.67151245   0.67151245
2008                            liberdade/Rua_Odon_Bezerra__147_90.jpg 4.984497  7.964693 -0.66829646   0.66829646
765                catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg 4.485538  5.964121 -0.65387389   0.65387389
1797              liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg 5.020744  3.000000  0.64197885   0.64197885
2022                            liberdade/Rua_Odon_Bezerra__147_90.jpg 5.344062  4.263889  0.64096021   0.64096021
2519                                liberdade/Rua_Sergipe__1337_90.jpg 3.397454  1.628420 -0.62934008   0.62934008
993             centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg 4.288541  4.987132 -0.60015815   0.60015815
1786                liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg 5.372880  4.706896  0.55609496   0.55609496
806                           catole/Rua_Vigario_Calixto__1201_180.jpg 5.077068  3.563567  0.55368091   0.55368091
787                             catole/Rua_Vigario_Calixto__1201_0.jpg 5.079506  3.585590  0.55046808   0.55046808
2653                      liberdade/Rua_Severino_Pimentel__511_270.jpg 4.947399  7.338503 -0.54470274   0.54470274
621                           catole/Rua_Olegario_Mariano__139_270.jpg 5.281186  4.416531  0.53891336   0.53891336
533                         catole/Rua_Luisa_Bezerra_Mota__246_270.jpg 5.552923  5.531591  0.52450626   0.52450626
1391                                centro/Rua_Elias_Aforas__67__0.jpg 4.963018  3.235387  0.52384800   0.52384800
691                           catole/Rua_Otacilio_Nepomuceno__76_0.jpg 5.686050  6.056499  0.52293302   0.52293302
2197                    liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg 5.592283  5.701754  0.52019981   0.52019981
1479                              centro/Rua_Felix_Araujo__48__270.jpg 4.608379  1.888889  0.51474471   0.51474471
1880                            liberdade/Rua_Edesio_Silva__602__0.jpg 4.976334  3.333333  0.51202932   0.51202932
