image_url street_wid sidewalk_wid g1q2_left g1q2_right public_art V1 diag hor vert red green blue bairro setor V3.Feminino distance.Feminino V3.Casado distance.Casado V3.Masculino distance.Masculino V3.Baixa distance.Baixa V3.CCatole distance.CCatole V3.Jovem distance.Jovem V3.NCCatole distance.NCCatole V3.Geral distance.Geral V3.Medio distance.Medio V3.Solteiro distance.Solteiro V3.Media distance.Media V3.Pos distance.Pos V3.Adulto distance.Adulto V3.NCCentro distance.NCCentro V3.CCentro distance.CCentro V3.NCLiberdade distance.NCLiberdade V3.CLiberdade distance.CLiberdade g2count mov_cars park_cars g2q2_left g2q2_right mov_ciclyst g3count debris g3q1_left g3q1_right pavement g3q2_left g3q2_right landscape g3q3_left g3q3_right g4count courtyards major_landsc g5count build_ident build_nrectan g6count prop_street_wall g6q1_left g6q1_right prop_wind g6q2_left g6q2_right g7count long_sight prop_sky_ahead prop_sky_across g7q3_left g7q3_right g8count graffiti trees g8q2_left g8q2_right small_planters g8q3_left g8q3_right g9count build_height g9q1_left g9q1_right g10count build_diff_ages diff_build prop_hist_build g11count outdoor_table g11q2_left g11q2_right street_furnit g11q3_left g11q3_right g12count basic_col lights g12q2_left g12q2_right accent_col g13count people g13q1_left g13q1_right prop_active_use g13q2_left g13q2_right area rank index diff mode
catole/Rua_Vigario_Calixto__1201_180.jpg 48 6.25 6.25 6.25 0 seguro? 12 93 0 131.998691 136.168203 133.692412 catole 250400905000062 5.95157524747 0.00485826538447638 4.87141015774 0.00224023657505182 4.83959011093 0.0051303342850268 5.93884264597 0.00464168511376633 5.19315323497 0.00532321864346157 5.36347736205 0.00533322284592648 4.89353042344 0.00681169776820235 4.93150596994 0.00697006159706174 4.84196882043 0.005134954725633 5.19050884142 0.00391964785371912 4.66452995538 0.0030635634387654 4.67966878797 0.00307008801224093 4.88224314982 0.00400535090563557 NA NA NA NA NA NA NA NA 1 2 4 0 4 0 1 5 5 5 5 5 5 5 5 5 3 0 0 2 3 0.5 4 0.9375 1 0.875 0 0 0 1 1 0.5 0.5 0.5 0.5 5 No 1.2 1.2 0 0 0 0 1 10.5 10 11 1 yes 5 0 7 0 0 0 1.28571428571429 0.428571428571429 0.857142857142857 1 3 0 0 0 5 1 0 0 0 0.4 0.5 0.3 oeste 12 62 -50 baixa
catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg 26.5 5.08815925959377 7.5 7.33333333333333 0 seguro? 32 60 2 125.929564 126.994183 118.131234 catole 250400905000062 5.54349869523 0.00108953202556432 5.52096969667 0.0210312456912517 4.70489135728 0.00701500798031438 5.39584151713 0.00368650139852735 5.15423432771 0.00230439847972287 4.78476495341 0.00326191903760277 4.6039488714 0.00215886384697243 4.88638940516 0.00651259065160205 4.90751457057 0.0027192049043024 4.76626126526 0.00373157338018944 4.25856618568 0.00205725555254958 4.27219809781 0.0025103488756196 4.56358779038 0.00442965342576232 NA NA NA NA NA NA NA NA 1 1 0 0 0 0 1 3 3 3 4 4 4 4 4 4 3 0 0 1 0 1 2 1 1 1 0 0 0 1 0 0.5 0.35 0.4 0.3 8 No 3.25 1 2.25 0.5 0.375 0.125 1 13.5 10 17 2 No 6.5 0 1 0 0 0 1 1 0 2 3 0 0 0 2.5 9 0 0 0 0.716666666666667 0.677777777777778 0.755555555555556 oeste 26 75 -49 baixa
catole/Rua_Inacio_Marques_da_Silva__434_270.jpg 37.1904761904762 8.46701236154842 6.35714285714286 7.07894736842105 0.380952380952381 seguro? 0 18 3 135.427253 136.259466 129.065199 catole 250400905000060 5.03603724449 0.00415677753276588 4.84109429033 0.00997420675798516 5.45066893448 0.0101072503126462 5.98814253874 0.00441483800527209 5.25634054498 0.00358672756723943 5.45666221645 0.00269385708675521 5.41691311417 0.00341190890120363 5.19583178574 0.00444313747482646 5.95826686548 0.00764057392721377 5.40264655252 0.00408172825587533 4.75914666469 0.00598572179797346 4.72393890185 0.0022053874123837 5.01366029057 0.00636889336616553 NA NA NA NA NA NA NA NA 18 0 0.333333333333333 0.2 0.166666666666667 0 4 4.5 4 4.5 4.5 4 4.5 4.375 3 4.5 3 1.33333333333333 1 1 0 1 4 0.25 0 0.25 0 0 0 1 2 0.35 0.125 0.15 0.1 1 No 0 NA 0 0 NA 0 1 10 NA 10 2 No 1 0 9 0 0 0 2.11111111111111 0 2.11111111111111 1 1 0 NA 0 1 3 0 0 0 0.4 0.2 0.5 oeste 8 51 -43 baixa
centro/Rua_Felix_Araujo__48__270.jpg 27.6 5.77637212793219 8 6 0.6 seguro? 28 52 7 124.100846 125.010072 121.420277 centro 25040090500004 5.75386856248 0.00499516724412321 5.22292659624 0.00386333786536251 5.02246598824 0.00502504274314072 5.57104285059 0.0037309318971945 NA NA 4.88913257371 0.00365622147010487 NA NA 4.96727309212 0.00669393066284004 5.28583722491 0.00496856377994393 4.96678720094 0.00517866686252741 4.66677393892 0.00563916110270886 4.63897045517 0.00274883099650108 5.40527160116 0.00560790199144028 4.17770954536 0 4.74945787272 0.0064069235004148 NA NA NA NA 35 0.771428571428571 6.51428571428571 2.6 5.02857142857143 0.914285714285714 1 4 NA 4 4 NA 4 3 NA 3 3 0 0 20 3.45 1.35 6 0.625 0.35 0.6 0.391666666666667 0.15 0.416666666666667 1 3 0.25 0.2 NA 0.2 6 No 0 0 0 0 0 0 3 16.6666666666667 15 16.6666666666667 2 No 3 0 1 0 0 0 0 0 0 1 3 1 0 1 4 3 3 3 2 0.9 1 0.9 norte 22 61 -39 baixa
liberdade/Rua_Riachuelo__930__0.jpg 36 7 7 7 0 seguro? 2 56 1 124.296901 124.997305 118.495983 liberdade 250400905000089 4.90982422936 0.00471035602372981 4.8572659003 0.011610554213793 4.70768283685 0.00615643544831691 5.12449015671 0.00535284162040743 NA NA 5.0993871933 0.00553337018213756 NA NA 4.83076093835 0.00322413434222997 5.06830288718 0.00195993756518249 4.76766498873 0.00385240598978643 4.4895537349 0.0060175940922783 4.50209705685 0.00653638710103505 4.43806065628 0.00300196889064499 NA NA NA NA 4.48338262945 0.00252813626850305 5.14669893844 0.00424290186549282 5 0 1.6 1 0.6 0 1 4 4 4 4 4 4 4 4 4 3 0.333333333333333 0 1 0 0 3 0.8 0.833333333333333 0.766666666666667 0 0 0 1 2 0.1 1 1 NA 24 No 3.20833333333333 0.590909090909091 2.66666666666667 0 0 0 2 10 10 10 2 No 5 0 2 0 0 0 0 0 0 3 2.66666666666667 1 1 0 2 5 0.6 0 0.6 1 1 1 oeste 39 70 -31 baixa
liberdade/Rua_Riachuelo__847__0.jpg 39.2 6 6 6 0 seguro? 11 52 7 130.78597 132.715016 125.540299 liberdade 250400905000089 5.29265935363 0.00313161067154253 5.93882504599 0.00114371265320634 5.03335378902 0.00501245429570711 5.41897928648 0.00282876766142082 NA NA 5.03420545127 0.00326159013979726 NA NA 5.06170036413 0.00275213027904507 6.96769838656 0.00248708223944781 4.93470123208 0.00369539407041253 4.75114118893 0.0021328307537572 4.75426724172 0.00239829701389555 5.22711497345 0.00545672661090838 NA NA NA NA 5.23438775599 0.00403328728152416 5.48565717339 0.0023118566296491 1 0 4 1 3 0 2 4 4 4 4 4 4 4.25 4.5 4 3 0 0 3 0 3 6 0.891666666666667 0.916666666666667 0.866666666666667 0 0 0 6 0.5 0.583333333333333 0.5625 0.566666666666667 0.558333333333333 6 No 5 2.66666666666667 2.33333333333333 0 0 0 1 10.5 11 10 3 No 4 0 8 0 0 0 0.625 0.5 0.125 2 2 0.5 0.5 0 0.5 6 0 0 0 0.95 0.966666666666667 0.933333333333333 oeste 24 53 -29 baixa
catole/Rua_Honorio_de_Melo__240__90.jpg 40 9.95631326586585 NA 6.66666666666667 0 seguro? 6 61 29 123.291009 126.131286 121.234639 catole 250400905000060 5.16986324881 0.00666622992735732 6.00230002158 0.0049318289091359 5.83606944124 0.00228184525800857 6.42293503408 0.00194388154783594 6.16871877315 0.00584577789133537 5.7502283574 0.00820023140696687 4.65292212606 0.00996548899728744 5.5115148306 0.0101234084858616 5.94953777041 0.00685033433276091 5.58486519644 0.00442337605832697 5.25066500468 0.00833360558584841 5.30436690471 0.0120627180522744 5.32811885111 0.00358494338399323 NA NA NA NA NA NA NA NA 1 0 3 2 1 0 4 4.5 NA 4.5 4 NA 4 5 NA 5 3 0 0 3 0 1.66666666666667 4 0.95 NA 0.95 0.025 NA 0.025 1 0 0.5 0.3 NA 0.3 5 No 2.2 0 2.2 1 0 1 2 15 NA 15 2 No 5.5 0 1 0 NA 0 4 NA 4 26 1.84615384615385 0 0 0 1.73076923076923 1 0 NA 0 1 NA 1 oeste 3 31 -28 baixa
liberdade/Rua_Severino_Pimentel__511_270.jpg 34.6666666666667 5.66666666666667 5.83333333333333 5.5 0 seguro? 2 92 1 120.636696 121.008337 116.796029 liberdade 250400905000089 4.521920605 0.00298887089901113 4.66961816387 0.00375676173782052 4.26487715536 0.011396790032042 4.71919653923 0.0046148255641697 NA NA 4.78658683984 0.00389716695790866 NA NA 4.1833118091 0.00758119296644037 4.05610247855 0.0182750726946451 4.26225523941 0.00827058157585367 4.03155609379 0.00376749351094352 4.03620235096 0.00358477236206184 4.07497306625 0.00234929363170184 NA NA NA NA 3.84486950875 0.00209270331685842 4.51150966308 0.00374836172041068 1 0 1 1 0 0 1 2 2 2 1.5 2 1 4 4 4 3 0 0 3 0.333333333333333 1.33333333333333 28 0.91875 0.937037037037037 0.905357142857143 0.025 0.0296296296296296 0.0178571428571429 1 0 0.5 0.4 0.4 0.4 1 No 5 2 3 0 0 0 2 10 10 10 4 No 3.25 0.0625 1 0 0 0 1 1 0 2 2 0 0 0 2 1 0 0 0 1 1 1 oeste 57 84 -27 baixa
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg 29.3333333333333 6.41666666666667 6.16666666666667 6.66666666666667 0 seguro? 2 31 3 121.100449 121.865911 112.041471 catole 250400905000062 3.54068258801 0.00408022071255335 3.20036528758 0.00694458857172933 3.74154035552 0.00547454900995199 4.23219474987 0.00600881036866568 3.98609728821 0.00602652047660027 3.99641086626 0.00746668381372097 3.19404405548 0.00260323168888345 3.68581781293 0.00469834117276351 4.49386798409 0.00164873975658142 3.82122575521 0.00901504948907508 3.35874514468 0.0049534025440195 3.36163665851 0.00255577487510402 3.22266732591 0.00616132235126155 NA NA NA NA NA NA NA NA 1 0 0 0 0 0 1 2.5 2 3 3 3 3 3.5 4 3 3 0 0 18 0.944444444444444 0.333333333333333 9 0.916666666666667 0.922222222222222 0.911111111111111 0.0277777777777778 0.0444444444444444 0.0111111111111111 1 0 0.5 0.3 0.2 0.4 1 No 3 2 1 0 0 0 1 15 20 10 1 No 4 0 4 0.25 0.25 0 0.5 0.25 0.25 1 2 0 0 0 1 1 1 1 0 0.5 1 0 oeste 77 104 -27 baixa
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg 32 7 7 7 0 seguro? 2 44 0 142.402321 141.511764 134.635859 liberdade 250400905000089 5.21263990585 0.00826826771449549 4.59524935961 0.00315335217636844 5.0595580364 0.00434301300240229 5.28178083122 0.0056705166413501 NA NA 5.21083335851 0.00520801051490006 NA NA 4.91640771975 0.00482741090398767 4.3349222934 0.00698358260194634 5.06291713231 0.00899475783727682 4.72395802011 0.00170498127471263 4.70948030807 0.00458454387425403 4.87184280581 0.00408841766558463 NA NA NA NA 5.1031531001 0.00368449035149807 5.04388400642 0.00332862133773262 7 0 0.428571428571429 0.428571428571429 0 0 1 2.5 2 3 3 3 3 2 2 2 3 0 0 2 1 0 22 0.956818181818182 0.947619047619048 0.970454545454545 0.0522727272727273 0.080952380952381 0.0227272727272727 1 1 0.5 0.275 0.3 0.25 17 No 1.11764705882353 0.705882352941177 0.411764705882353 0 0 0 2 14 10 18 1 No 5 0 9 0 0 0 0.111111111111111 0.111111111111111 0 20 2.4 0.05 0.05 0 1.8 1 8 4 4 0.7 0.5 0.9 oeste 30 54 -24 baixa
