_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2,question3__left_side,question3__right_side,seeside,group,image_url,orig_question1,question1_gold,orig_question2,question2_gold,question3,question3__left_side_gold,question3__right_side_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
811096660,11/12/2015 18:23:39,false,1799080680,,11/12/2015 18:21:45,false,tremorgames,1.0,25197223,HRV,12,Rijeka,89.201.185.133,1,0,1,,left,7,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096661,11/12/2015 18:25:20,false,1799082095,,11/12/2015 18:20:42,false,clixsense,1.0,34112292,IND,10,Sirsa,117.220.166.68,2,0.35,0.15,0.10,"left
Right",7,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096662,11/12/2015 18:21:27,false,1799078744,,11/12/2015 18:19:14,false,cf_internal,0.7692,34864111,BRA,17,Campina Grande,150.165.85.232,0,0.5,,0.3,Right,7,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096663,11/12/2015 18:21:41,false,1799078899,,11/12/2015 18:17:41,false,neodev,1.0,31355178,UKR,18,Kremenchug,46.39.65.222,3,0.05,0.05,0.05,"left
Right",7,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096664,11/12/2015 18:22:34,false,1799079578,,11/12/2015 18:20:42,false,neodev,1.0,33017118,ESP,51,Málaga,83.54.24.88,1,1,1,1,"left
Right",7,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096665,11/12/2015 18:24:00,false,1799080923,,11/12/2015 18:21:12,false,clixsense,1.0,21408115,IDN,07,Jepara,36.73.21.198,2,0.9,0.9,0.7,"left
Right",7,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096666,11/12/2015 18:23:39,false,1799080679,,11/12/2015 18:21:45,false,tremorgames,1.0,25197223,HRV,12,Rijeka,89.201.185.133,0,0,0,,left,7,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096667,11/12/2015 18:23:39,false,1799080677,,11/12/2015 18:21:45,false,tremorgames,1.0,25197223,HRV,12,Rijeka,89.201.185.133,1,1,1,,left,7,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096668,11/12/2015 18:21:43,false,1799078912,,11/12/2015 18:20:26,false,tremorgames,1.0,25197223,HRV,12,Rijeka,89.201.185.133,2,1,1,,left,7,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
811096669,11/12/2015 18:20:24,false,1799078015,,11/12/2015 18:17:46,false,tremorgames,1.0,25197223,HRV,12,Rijeka,89.201.185.133,2,1,1,,left,7,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg,"Count the number of directions (front/along the street, right, left) in which you see at least one long sight line at any point",,Estimate the proportion of sky in your frame vision along the street,,Estimate the proportion of sky in your frame vision across the street,,,,Long sight lines,Proportion of Sky,Proportion of Sky,"Long sight line: the ability to see at least 1,000 feet (304.8 meters) or about three city blocks into the distance at any point|Record a 1 if you had a long sight line in one direction, a 2 for two directions, and a 3 if you had a long sight line in all three directions|Only count it if the view is not significantly obstructed|Do not count sight lines through buildings that are being constructed","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller","Frame of vision: your frame of vision is the “box” that is visible when you look ahead with your line of sight parallel to the ground. To better define the area, make a box with your fingers (thumbs and pointer fingers) and hold it up to your face. Slowly move it away until you can see all four sides—this is your box|Record the estimated proportion (use decimal increments of 0.05)|Sky visible through a glass obstruction does not count as visible sky|If a building is under construction, there is an obstructed view and therefore the proportion of the sky you can see will be smaller"
