image_url V3.Jovem V3.Adulto diff
liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg 3.921336  4.970939   40
liberdade/Rua_Odon_Bezerra__388__90.jpg 5.106325  4.286200  -27
liberdade/Rua_Odon_Bezerra__388__270.jpg 4.917902  3.931332  -30
liberdade/Rua_Odon_Bezerra__147_90.jpg 5.335917  4.638616  -22
liberdade/Rua_Espirito_Santo__1288__0.jpg 4.618825  5.322614   26
centro/Rua_Elias_Aforas__67__0.jpg 4.454531  5.654727   46
liberdade/Rua_Espirito_Santo__1288__180.jpg 4.171877  5.020853   36
centro/Rua_Pedro_Alvares_Cabral__129_180.jpg 4.081071  3.599571  -13
catole/Rua_Olegario_Mariano__139_0.jpg 5.484685  4.305494  -35
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 5.345054  4.304879  -35
