foto	qscore	red	green	blue	diag	hor	vert
liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg	4.88478667571	145.898457	146.258633	142.203584	3	88	0
centro/Avenida_Barao_Rio_Branco__141_90.jpg	5.16961346689	105.501370	107.380785	99.069189	1	31	2
liberdade/Rua_Edesio_Silva__602__180.jpg	3.89836016648	138.456019	138.633796	131.623743	2	59	10
centro/Rua_Manoel_P._de_Araujo__150_90.jpg	5.32690919699	126.503086	126.464300	118.839479	29	102	3
liberdade/Rua_Odon_Bezerra__306_90.jpg	5.45401677754	133.495195	136.031426	132.174255	11	94	21
centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg	5.18713384446	121.387926	123.476393	119.806224	3	68	4
catole/Rua_Aluisio_Cunha_Linha__50__90.jpg	3.50990349583	126.398174	127.951865	119.586569	11	26	11
liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg	5.21566018697	144.831243	143.262380	136.474089	13	72	4
catole/Rua_Honorio_de_Melo__240__90.jpg	5.66576440931	123.291009	126.131286	121.234639	6	61	29
liberdade/Rua_Severino_Pimentel__511_270.jpg	4.58625392406	120.636696	121.008337	116.796029	2	92	1
catole/Rua_Inacio_Marques_da_Silva__434_90.jpg	3.85213543348	132.573525	132.374896	127.521784	0	59	6
liberdade/Rua_Espirito_Santo__1288__180.jpg	4.12826219983	134.407396	134.932142	129.290309	8	39	5
centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg	4.29918571271	124.261602	125.986527	121.560404	16	39	14
centro/Rua_Joao_da_Mata__490_270.jpg	5.33371778293	129.334909	129.743675	125.925495	2	138	4
liberdade/Rua_Odon_Bezerra__147_90.jpg	6.02277318966	127.871650	127.347510	121.500645	1	72	2
centro/Rua_Manoel_P._de_Araujo__150_270.jpg	4.30508002635	121.356520	124.019098	121.940479	29	84	9
centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg	6.18165459214	118.822627	120.764961	113.198887	6	174	14
catole/Rua_Doutor_Antonio_Telha__235_0.jpg	4.37276202438	126.547796	135.748786	136.771491	1	79	0
liberdade/Rua_Odon_Bezerra__306_270.jpg	5.31088113823	137.449076	137.021048	130.282982	6	119	25
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg	5.32477583222	113.870244	112.138958	102.803750	12	46	3
catole/Rua_Doutor_Antonio_Telha__235_180.jpg	4.38767751749	127.715973	132.546429	130.341491	8	80	0
centro/Rua_Augusto_Severo__71_90.jpg	4.13100580774	134.033597	132.542074	131.515316	22	33	7
centro/Rua_Felix_Araujo__132__270.jpg	4.74412895486	129.129339	131.955859	127.526146	19	36	27
centro/Rua_Elias_Aforas__202_0.jpg	3.71626983728	136.348516	138.192728	134.242767	0	127	2
catole/Rua_Vigario_Calixto__1201_180.jpg	5.16518643651	131.998691	136.168203	133.692412	12	93	0
centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg	5.14889866586	119.332207	120.520785	114.135911	12	102	0
centro/Rua_Felix_Araujo__48__90.jpg	4.85770779104	124.404134	125.012539	121.919619	26	58	50
centro/Rua_Pedro_Alvares_Cabral__129_90.jpg	4.08933072029	128.180508	127.131325	120.353877	2	107	2
liberdade/Rua_Sergipe__1337_90.jpg	3.24900412998	144.261178	144.537822	139.523369	3	46	1
catole/Rua_Luisa_Bezerra_Mota__246_90.jpg	4.86173911194	140.162500	142.407031	130.632113	1	45	3
catole/Rua_Luisa_Bezerra_Mota__246_270.jpg	5.09185314515	105.525957	109.478102	91.899622	10	15	4
centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg	3.73361951215	131.728418	134.418421	131.609941	2	74	2
liberdade/Rua_Severino_Pimentel__439__0.jpg	4.13595119944	106.548639	104.993395	96.514922	9	30	4
catole/Rua_Inacio_Marques_da_Silva__434_270.jpg	5.30525114413	135.427253	136.259466	129.065199	0	18	3
liberdade/Rua_Riachuelo__930__180.jpg	3.88304283875	138.253385	138.430732	132.724137	7	59	5
centro/Rua_Joao_da_Mata__490_90.jpg	4.76395010562	131.744518	133.567744	129.142728	0	71	3
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg	5.07567665809	142.402321	141.511764	134.635859	2	44	0
catole/Rua_Joao_Francisco_Mota__64__90.jpg	5.27927973826	125.234837	129.274645	124.010358	1	69	0
liberdade/Rua_Edesio_Silva__602__0.jpg	5.07665819454	131.971644	132.108809	125.799980	3	42	2
liberdade/Rua_Odon_Bezerra__388__270.jpg	5.1994207027	140.350703	142.799121	140.471113	30	87	1
liberdade/Rua_Sergipe__1337_0.jpg	4.15268721155	139.148597	140.304769	134.418161	4	30	2
liberdade/Rua_Severino_Pimentel__511_90.jpg	4.67158351077	121.049515	120.713864	117.067074	0	47	3
centro/Rua_Elias_Aforas__67__180.jpg	4.2137880152	131.477516	135.303031	130.045641	10	62	13
centro/Rua_Felix_Araujo__132__90.jpg	4.27424151417	136.618867	130.802083	127.340228	25	60	8
liberdade/Rua_Odon_Bezerra__388__90.jpg	5.74674507985	135.760153	140.683346	138.384238	31	55	8
catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg	3.50921220741	118.328799	119.472708	108.207113	9	27	3
centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg	3.53051532126	123.860758	125.609870	124.661169	30	17	17
centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg	4.434248071	127.195745	124.938900	118.374307	24	35	12
centro/Rua_Capitao_Joao_de_Sa__45__0.jpg	4.62543477718	122.942269	119.520684	115.176995	34	56	31
liberdade/Rua_Santa_Catarina__1231__180.jpg	3.62555820361	131.491341	132.571680	124.960540	5	51	4
catole/Rua_Olegario_Mariano__139_90.jpg	4.99066505541	137.880081	146.190195	145.630726	1	77	4
centro/Rua_Pedro_Alvares_Cabral__129_180.jpg	4.30974386	125.443968	125.744001	120.301338	10	36	5
catole/Rua_Doutor_Antonio_Telha__68__90.jpg	4.76248636499	132.714385	132.563727	128.080742	2	31	2
centro/Rua_Manoel_P._de_Araujo__370_0.jpg	4.30998727089	133.269062	129.740671	122.154857	5	64	5
liberdade/Rua_Severino_Pimentel__321__0.jpg	4.83934794514	111.373298	110.042204	103.598262	0	14	3
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg	5.01636358723	131.291650	132.716937	128.082139	4	63	1
centro/Rua_Quebra_Quilos__399__270.jpg	5.75312698093	133.286859	134.592542	128.642448	28	86	10
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg	3.82715727279	121.100449	121.865911	112.041471	2	31	3
centro/Avenida_Barao_Rio_Branco__141_270.jpg	5.43042070853	106.163711	108.740436	105.716852	6	50	0
liberdade/Rua_Riachuelo__847__0.jpg	5.15870471922	130.785970	132.715016	125.540299	11	52	7
centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg	5.94950914641	136.549798	136.973691	129.137939	0	97	16
centro/Rua_Quebra_Quilos__399__90.jpg	5.65579450409	137.487269	140.792083	136.576338	32	68	1
liberdade/Rua_Riachuelo__455__0.jpg	3.84467093709	143.570794	142.777637	137.516849	2	46	2
centro/Rua_Elias_Aforas__202_180.jpg	3.66928086732	129.606719	129.901117	123.373167	3	53	2
centro/Rua_Felix_Araujo__48__270.jpg	4.54244010693	124.100846	125.010072	121.420277	28	52	7
liberdade/Rua_Santa_Catarina__1231__0.jpg	3.70578871593	118.076637	120.703314	113.714915	0	40	12
catole/Rua_Otacilio_Nepomuceno__76_0.jpg	4.98853898447	115.955612	120.652204	115.367415	0	47	0
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg	4.93026093017	134.132959	135.887747	130.572051	7	66	1
liberdade/Rua_Acre__635_90.jpg	4.8232037588	122.280931	123.107865	114.472673	0	41	9
liberdade/Rua_Odon_Bezerra__147_270.jpg	5.45705815908	130.915908	132.370719	127.111458	29	93	15
centro/Rua_Augusto_Severo__71_0.jpg	4.06670541549	131.773874	132.520160	127.058906	4	162	34
centro/Rua_Elias_Aforas__67__0.jpg	4.51433992923	125.000840	127.151543	123.736686	28	66	12
liberdade/Rua_Riachuelo__930__0.jpg	4.99368195627	124.296901	124.997305	118.495983	2	56	1
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg	4.89732393092	139.401413	138.018307	130.967428	16	56	2
centro/Rua_Doutor_Severino_Cruz__411__90.jpg	5.88708108084	128.611305	137.582194	136.705202	2	66	10
centro/Rua_Doutor_Severino_Cruz__411__270.jpg	5.91735133986	144.498691	145.224027	141.977536	0	84	0
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg	5.84066567385	140.519632	142.964596	140.693747	0	64	0
catole/Rua_Olegario_Mariano__139_180.jpg	4.97672058828	132.516969	136.157663	132.903721	3	33	13
catole/Rua_Doutor_Antonio_Telha__68__270.jpg	3.48677495995	125.487760	127.514404	120.395465	2	43	1
catole/Rua_Olegario_Mariano__139_270.jpg	5.30044148847	135.202174	136.802829	131.889030	0	29	3
centro/Avenida_Dom_Pedro_II__500_90.jpg	5.70192796841	129.926787	129.633376	126.628532	3	73	41
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg	4.40229803471	130.496758	131.015820	121.776126	6	15	19
catole/Rua_Joao_Francisco_Mota__64__270.jpg	5.16880406651	126.428887	125.605205	117.998896	7	54	31
liberdade/Rua_Espirito_Santo__1288__0.jpg	4.6392612284	126.334404	127.991569	123.343815	19	42	10
liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg	4.20575527176	123.511149	125.277279	117.987002	11	44	16
centro/Avenida_Dom_Pedro_II__119_90.jpg	4.91457568872	125.609147	127.682314	123.584186	10	120	13
liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg	4.06179159435	139.906722	141.756686	135.041647	2	47	10
centro/Avenida_Dom_Pedro_II__119_270.jpg	5.07472742361	109.918890	112.234606	108.105700	0	97	2
catole/Rua_Otacilio_Nepomuceno__76_90.jpg	5.47366950634	129.535540	134.318838	130.701722	4	51	0
liberdade/Rua_Severino_Pimentel__321__180.jpg	4.63716324046	121.297383	121.176650	116.275986	1	17	3
catole/Rua_Deputado_Ascendino_Moura__101__90.jpg	4.80198942893	144.728932	149.899870	149.314124	3	60	1
centro/Rua_Manoel_P._de_Araujo__370_180.jpg	4.36560834726	120.920446	118.684710	111.464251	12	114	20
liberdade/Rua_Acre__635_270.jpg	4.54084131125	138.278320	138.776455	133.851165	1	144	21
centro/Avenida_Dom_Pedro_II__500_270.jpg	5.32934862389	133.810905	132.219281	128.191960	18	89	16
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg	5.32841346758	136.950221	139.703047	134.954040	0	202	30
catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg	4.82442156031	125.929564	126.994183	118.131234	32	60	2
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg	4.12715186759	129.821367	130.043005	119.405013	18	34	6
catole/Rua_Vigario_Calixto__1201_0.jpg	4.72872546453	142.369180	145.271709	141.056549	6	103	1
centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg	5.4066728193	128.970573	130.787113	127.437249	15	158	13
centro/Rua_Capitao_Joao_de_Sa__45__180.jpg	3.8522340806	128.782845	126.983011	120.457803	17	72	27
catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg	4.41259467261	117.703577	116.063171	106.835853	5	50	8
catole/Rua_Olegario_Mariano__139_0.jpg	5.10259767539	129.873678	134.370033	132.239385	2	75	2
liberdade/Rua_Severino_Pimentel__439__180.jpg	4.19074423417	124.455026	123.571846	115.850316	10	32	2
liberdade/Rua_Riachuelo__847__180.jpg	4.79264420485	117.794447	119.201494	109.527542	0	19	2
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg	5.1191483771	129.055622	128.052188	122.677731	4	62	2
catole/Rua_Honorio_de_Melo__240__270.jpg	4.98738150605	143.184323	144.190199	138.668711	19	45	12
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg	5.53011959175	117.162331	121.228779	115.941390	0	44	0
liberdade/Rua_Riachuelo__455__180.jpg	3.86549125177	131.701270	131.881937	124.783831	1	48	11
