photo1,street_wid1,mov_cars1,park_cars1,mov_ciclyst1,landscape1,build_ident1,trees1,build_height1,diff_build1,people1,graffiti1,bairro1
https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_180.jpg,33,2,6,2,2.06422018348624,2,0,18,11,6,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__511_270.jpg,35,0,1,0,4,1,5,10,4,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,40,0,3,0,5,0,3,15,6,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_270.jpg,34,5,3,0,4.125,2,3,15,5,2,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg,31,1,1,0,3.625,0,6,10,5,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_0.jpg,43,0,3,0,4,0,6,10,2,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__90.jpg,34,0,1,0,2,0,2,12,6,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__511_90.jpg,26,0,0,0,3.68248175182482,1,3,11.8333333333333,4,0,Yes,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_180.jpg,32,0,0,0,3.25,0,2,19.2,8,0,Yes,catole
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__235_0.jpg,46,3,8,0,3.5,23,3,10,7,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__270.jpg,40,3,2,0,2.5,1,1,10,8,2,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_90.jpg,44,4,6,0,4,0,3,16.2391304347826,5,8,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__0.jpg,30,0,1,0,2.5,0,4,8.66666666666667,4,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg,44,5,2,2,4,0,2,10,5,3,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_90.jpg,34,0,0,0,2,0,1,56.25,5,2,No,catole
https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_90.jpg,30,1,1,1,2,2,0,18.5,6,12,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg,36,1,1,0,4,1,6,12.5,4,0,No,catole
https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg,48,3,3,0,4,0,6,20,6,0,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__180.jpg,38,0,1,0,3.83333333333333,0,4,10,3,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg,26,0,2,0,2.5,1,7,10,5,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,38,1,0,0,3.33333333333333,0,2,15,3,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__90.jpg,40,5,2,2,3,3,0,15.5,9,3,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_90.jpg,39,2,1,2,3,3,2,15.5,9,3,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__68__270.jpg,30,0,2,0,1,1,1,15,2,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Acre__635_90.jpg,37,1,0,0,3.5,6,7,10,6,0,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg,40,2,14,0,2.43577981651376,2,0,22.25,9,4,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__180.jpg,28,0,0,0,2.66666666666667,0,0,10.8333333333333,5,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Sergipe__1337_90.jpg,26,1,4,0,1.35217391304348,0,0,10,4,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg,27,0,0,0,3.5,0,5,10,5,1,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__132__90.jpg,28,1,9,0,2.57142857142857,4,0,12,7,4,Yes,centro
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_0.jpg,34,1,1,0,4.2,0,3,10,4,1,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg,31,0,2,0,3.375,0,0,20,7,6,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__306_90.jpg,40,5,2,0,3.46581196581197,2,4,27.75,7,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__0.jpg,38,1,3,2,3.875,0,1,20,5,2,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg,32,1,1,0,3,0,7,15,4,0,No,catole
