choice	age_cat	gender	income	d_swidth	d_mvcars	d_pcars	d_trees	d_mvciclyst	d_lands	d_bid	d_bheig	d_dbuild	d_people	d_graff	bair_cat
1	jovem	masculino	media	2.6666666666	3	2	-2	0	0.68152173913	2	-2.94836723158468	0.66666666667	1.333333333333	0	lib_cen
1	jovem	masculino	media	-3.25	-1.8829787234	-10.1808510638	6	-1.23404255319	-0.375	-6.33333333333	-1.60665757182047	-3.5	-4	0	lib_cen
1	jovem	masculino	media	-1.3333333333	-4	-3	3	0	0	0	-0.648183481011124	-3.25	-8	0	cat_cen
1	jovem	masculino	media	5.9761904762	-0.5	-8	2	0	-0.57142857143	-3.05263157895	0	-1	-3.33333333333	-1	cat_cen
1	jovem	masculino	media	0.333333333300001	0	-3	3	-2	2.23098921451	0.333333333333	-0.421713564140411	-4	-5	1	lib_cen
1	jovem	masculino	media	1.3333333333	-2	-1	-3	0	-0.19347826087	0	-2.61208384372025	4	-0.666666666667	1	cat_cen
1	jovem	masculino	media	16.4	3.228571428571	-0.51428571429	3	-0.914285714286	1	-3.45	-0.0353428541963439	2	5	0	mesmo
1	jovem	masculino	media	-14.619047619	-4	-5	1	0	-1.5	0	-0.834596605241507	-1.5	-8	0	lib_cen
1	jovem	masculino	media	15.7899159664	4.5	-7	2	2	1.42857142857	-3.05263157895	-0.241008099503795	-2	-0.83333333333	-1	lib_cen
0	jovem	masculino	media	-6.0945945946	-4	0	-3.944444444447	0	-2.50769230769	-0.333333333333	5.83920378809694	5	1.33333333333	0	cat_cen
0	jovem	masculino	media	-4.1333333333	0.487179487179	-0.358974358974	-2	0.25641025641	0	2	0.584962500721157	0	12	0	cen_cat
1	jovem	masculino	media	-37	-3	0	-8.8	0	1.33333333333	-2	0.356143810225275	-3.18421052632	-1	0	mesmo
0	jovem	masculino	media	7.3333333333	-0.55555555556	-1.44444444444	-0.33333333333	0	0.16666666667	-5	-1.59067615191555	-1.86363636364	-3.875	0	mesmo
1	jovem	masculino	media	0.833333333299997	1	-3	1	0	0	-4.333333333333	-0.103093492964104	-2.33333333333	-5.66666666667	0	cat_cen
1	jovem	masculino	media	5.3333333333	-0.145454545455	-2.87272727273	1.9411764705882	-0.745454545455	1.60887096774	-1	0.528928465806828	1.5	-10.8181818182	1	cat_cen
1	jovem	masculino	media	-7.2222222222	-0.0555555555599998	-7	-10.5	2	-1	2.111111111111	0.466521043422195	6	3	0	lib_cat
1	jovem	masculino	media	-8.6666666667	-3	-5	3	0	0	0.666666666667	-0.352727597484952	-1	-8	0	cat_cen
1	jovem	masculino	media	-40.5	-2.5	-3	-4.5	0	-0.16666666667	4	-0.184424571137427	-2.68421052632	-1	0	lib_cat
0	jovem	masculino	media	-17.3333333333	-2.05555555556	-8	-12	0	-1.33333333333	-0.888888888889	-0.0130884571567962	1.5	0	0	lib_cat
1	jovem	masculino	media	-51	-2.9538461538462	0.32307692308	-11	0	-2.31449275363	-2	-0.184424571137427	-4.85087719299	-0.952380952381	0	lib_cat
