_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2,question3,group,image_url,orig_question1,question1_gold,orig_question2,question2_gold,orig_question3,question3_gold,step1,step2,step3,tip1,tip2,tip3
799097365,10/21/2015 05:33:53,false,1777162497,,10/21/2015 05:32:11,false,elite,0.7,30688710,IDN,04,Jakarta,202.62.16.219,No,0,0,10,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097365,10/21/2015 06:01:41,false,1777175753,,10/21/2015 05:59:59,false,elite,0.7273,33018241,IDN,"","",114.79.32.104,No,0,0,10,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097366,10/20/2015 15:03:01,false,1776045327,,10/20/2015 15:02:08,false,neodev,0.7273,29226888,IND,02,Hyderabad,115.98.116.246,No,0,0,10,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097366,10/20/2015 18:14:52,false,1776451369,,10/20/2015 18:12:10,false,gifthunterclub,0.7273,31583992,VEN,"","",201.211.162.129,No,2,0,10,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097367,10/21/2015 05:43:02,false,1777166851,,10/21/2015 05:41:48,false,elite,0.7,30688710,IDN,04,Jakarta,202.62.16.219,No,6,0,10,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097367,10/21/2015 06:11:32,false,1777180175,,10/21/2015 06:06:35,false,elite,0.7273,33018241,IDN,"","",114.79.32.232,No,5,0,10,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097368,10/21/2015 14:44:20,false,1777535643,,10/21/2015 14:42:10,false,neodev,0.7273,30586572,ECU,04,Azoguez,186.5.62.25,No,4,0,10,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097368,10/22/2015 09:38:55,false,1778309897,,10/22/2015 09:36:38,false,neodev,0.8,29163230,FRA,A1,Dijon,176.182.36.174,No,4,0,10,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097369,10/23/2015 03:25:59,false,1779098346,,10/23/2015 03:24:14,false,elite,0.7273,29216801,USA,"","",172.164.50.190,No,7,0,10,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097370,10/23/2015 21:02:44,false,1779907988,,10/23/2015 20:58:48,false,neodev,0.8182,26125932,SRB,02,Novi Sad,178.222.186.213,No,1,0,10,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097371,10/20/2015 14:28:40,false,1776005573,,10/20/2015 14:13:37,false,neodev,0.8,32075079,MKD,41,Skopje,79.126.212.231,No,2,0,10,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
799097371,10/20/2015 15:05:44,false,1776048491,,10/20/2015 15:04:25,false,neodev,0.7273,29226888,IND,02,Hyderabad,115.98.116.246,No,1,0,10,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Are there buildings that appear to have been built at different time periods?,,Count visible different buildings,,Estimate the proportion of historic buildings,,Building ages,Buildings,Proportion of historic building,At least one counted building must appear to be built in a different time period,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually","Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)"
