_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2__left_side,question2__right_side,question3,seeside,group,image_url,orig_question1,question1_gold,question2,question2__left_side_gold,question2__right_side_gold,orig_question3,question3_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
799364645,10/25/2015 14:24:52,false,1781554400,,10/25/2015 14:18:30,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.125,0,,0,0,Right,12,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364646,10/25/2015 14:32:21,false,1781557265,,10/25/2015 14:28:03,false,elite,0.8571,33018241,IDN,"","",114.79.32.175,1,,0,1,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364647,10/21/2015 20:54:10,false,1777852386,,10/21/2015 20:52:44,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,2,,0,1,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364647,10/21/2015 22:38:23,false,1777927190,,10/21/2015 22:36:18,false,prodege,0.8333,3587109,CAN,NL,Grand Falls,142.166.224.4,2,,0,1,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364647,10/22/2015 06:40:05,false,1778187377,,10/22/2015 06:37:47,false,clixsense,0.9,9509334,BIH,01,Sarajevo,188.127.122.115,2,0,0,0,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364648,10/23/2015 06:40:14,false,1779248204,,10/23/2015 06:39:01,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,1,0,,1,left,12,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364649,10/24/2015 15:18:53,false,1780572553,,10/24/2015 15:14:24,false,elite,0.9,30636018,IDN,04,Jakarta,202.62.17.156,2,0,0,2,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364650,10/25/2015 01:41:41,false,1781257718,,10/25/2015 01:38:43,false,neodev,0.7857,33384589,VEN,25,Caracas,200.84.51.28,1,,0,2,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364651,10/25/2015 14:28:00,false,1781555526,,10/25/2015 14:24:54,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.125,2,0,0,2,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364652,10/25/2015 13:58:16,false,1781544869,,10/25/2015 13:50:57,false,neodev,0.7857,33384589,VEN,25,Caracas,200.84.51.28,2,,0,2,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364653,10/22/2015 23:41:44,false,1778950724,,10/22/2015 23:38:03,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.223,2,0,0,2,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364654,10/22/2015 23:47:05,false,1778953629,,10/22/2015 23:44:50,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.223,2,0,0,2,"left
Right",12,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364655,10/22/2015 14:54:35,false,1778540626,,10/22/2015 14:49:50,false,neodev,0.7857,33384589,VEN,25,Caracas,161.196.171.28,2,,0,1,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
