_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,your_answer_is,group,image_url,orig_question1,question1_gold,question2,question3,step1,step2,step3,survey,tip1,tip2,tip3,your_answer_is_gold
811026012,11/12/2015 18:07:06,false,1799068144,,11/12/2015 18:03:22,false,clixsense,1.0,34593000,MEX,"","",189.243.94.208,1,0,5,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026013,11/12/2015 13:40:23,false,1798877504,,11/12/2015 13:39:27,false,cf_internal,1.0,34864111,BRA,17,João Pessoa,179.236.17.203,0,1,5,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026014,11/12/2015 14:34:17,false,1798911719,,11/12/2015 14:31:30,false,neodev,0.75,33384589,VEN,25,Caracas,161.196.171.28,0,5,5,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026014,11/12/2015 15:32:06,false,1798960434,,11/12/2015 15:30:30,false,elite,0.8333,30688710,IDN,04,Jakarta,202.62.16.207,0,0,5,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026014,11/12/2015 15:36:31,false,1798963950,,11/12/2015 15:35:35,false,elite,0.8,30487799,IDN,"","",114.79.32.39,0,0,5,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026015,11/11/2015 03:39:52,false,1797265754,,11/11/2015 03:38:27,false,neodev,0.8,33903530,PER,"","",181.64.192.47,1,0,5,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026016,11/12/2015 16:34:09,false,1799003400,,11/12/2015 16:32:10,false,neodev,0.8,31305123,GRC,01,Alexandroúpoli,2.85.136.147,0,0,5,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026017,11/12/2015 15:42:18,false,1798968528,,11/12/2015 15:38:50,false,elite,0.8,30487799,IDN,"","",114.79.32.39,1,0,5,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026018,11/11/2015 19:46:03,false,1798067943,,11/11/2015 19:44:37,false,hiving,0.8889,33048733,ITA,09,Agrate Brianza,2.230.158.62,1,0,5,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
811026018,11/11/2015 22:25:34,false,1798214529,,11/11/2015 22:24:44,false,gifthunterclub,0.8889,32333519,VEN,"","",190.73.185.48,1,0,5,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,Count buildings with identifiers,,Count buildings with nonrectangular shapes,,Buildings with identifiers,Buildings with nonrectangular shapes,,,"Identifiers: clear signs or universal symbols that reveal a building’s street-level use. A steeple can identify a church; gas pump, a gas station; tables and chairs, a restaurant; mannequins, a clothing store; and so forth. Words can also identify a lot or building: high school, restaurant, pharmacy, shoe store, café, and brand or franchise names. A name such as “Joe’s” would not work, while “Joe’s Pub” would identify the building|Count buildings with identifiers that are visible from the sidewalk|If the building exists (all walls up) and there is a sign that says “for rent,” “coming soon,” or “space for lease” where the function (land use) is specified, it is identifiable|If you know beyond a reasonable doubt that the building is either vacant or does not serve its specified use, the building is not identifiable ","Buildings with nonrectangular shapes: those that do not have simple rectangular profiles from at least one angle, as seen by the passing pedestrian. Visible pitched roofs, bay windows in the roof or foundation lines, dormers, and so forth qualify buildings as nonrectangular. Signs, awnings, entrances, and porches are not considered in the shape of the building|If you can see more than one rectangle, the building is not rectangular from at least one angle|If there are any structures incorporated into the building that give it a nonrectangular shape, consider the building nonrectangular",,
