#,Pesquisador,Rua pesquisada,Cidade de origem,Loja:,Trabalha na área?,Quanto gastou em compras?,Em que estágio das compras o Sr./a Sra está?,Meio de transporte usado para chegar ao centro,"Se veio de carro, onde estacionou o carro?",Pedestres,Faixa de circulação de veículos,Estacionamento,Espaços Públicos,Arborização,Mobiliário Urbano,Em que ano o Sr./a Sra nasceu?,Qual sua renda familiar?,Sexo:,Start Date (UTC),Submit Date (UTC),Network ID
277e1d301cbd6d090be80d0c2d618b52,Fernanda,Maciel Pinheiro,Campina Grande,rutra,0,Não comprou,No meio,Ônibus,Não veio de carro,5,2,1,5,5,5,1955,"3 SM (R$2.364,00)",Feminino,2015-08-08 12:54:25,2015-08-08 13:23:03,8fccc5afa5
95d590f1378f7a43a31cc4273d62fe0b,Marihana,Maciel Pinheiro,Campina Grande,artigos esp,0,Não comprou,Não está comprando,Carro,Carona ida e volta,5,2,1,3,5,3,1996,Não quis informar,Feminino,2015-08-08 13:18:12,2015-08-08 13:22:36,65449e1e24
bfc2b239d029fa43b51f135ea096fc52,Pedro,Maciel Pinheiro,Campina Grande,serviços,0,"R$1,00 - R$50,00",Nem começou,Moto,Não veio de carro,5,4,5,5,5,4,1980,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-08-08 13:21:34,2015-08-08 13:26:29,ca4bcc28ba
fff449cdcb0e441f9af19069adaf0e42,Hanna,Maciel Pinheiro,Campina Grande,Aluisio,0,Não comprou,Nem começou,A pé,Não veio de carro,5,5,5,5,5,5,1953,"2 SM (R$1.576,00)",Feminino,2015-08-08 13:22:42,2015-08-08 13:26:17,a3debd4de2
66cc68d57e8b63f3dd3e238f8c9b88b9,Marihana,Maciel Pinheiro,Campina Grande,aluidio fashion,0,"R$51,00 - R$100,00",Já comprou tudo,Ônibus,onibue,5,5,1,5,5,5,1996,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-08-08 13:22:50,2015-08-08 13:26:41,65449e1e24
42a4b284c23f41494cdac3e5f1aef32c,Fernanda,Maciel Pinheiro,joao pessoa,gisalva modas,0,Não comprou,Nem começou,Ônibus,Não veio de carro,5,1,1,5,5,5,1996,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-08-08 13:23:29,2015-08-08 13:26:52,8fccc5afa5
b06e4193c78147b43876209ca75a9c62,Marihana,Maciel Pinheiro,Campina Grande,n,0,Não comprou,Não está comprando,Ônibus,Não veio de carro,4,4,4,5,5,5,1959,"Até 1 SM (R$788,00)",Feminino,2015-08-08 13:26:49,2015-08-08 13:30:38,65449e1e24
2e991325e52b8898d7aeed684a5fd019,Fernanda,Maciel Pinheiro,joao pessoa,gisalva modas,0,Não comprou,Nem começou,Ônibus,Não veio de carro,4,1,1,5,5,5,1996,"2 SM (R$1.576,00)",Feminino,2015-08-08 13:27:05,2015-08-08 13:29:49,8fccc5afa5
6f6a76f623ce6af6e0750b482f70e0f6,Hanna,Maciel Pinheiro,Campina Grande,Jet print Luís tecidos,0,"R$101,00 - R$200,00",No meio,Carro,Na rua,4,4,5,5,4,4,1983,Não quis informar,Masculino,2015-08-08 13:27:23,2015-08-08 13:30:21,a3debd4de2
a6e8dddd40dee06dcb89d08ed2d48d6f,Pedro,Maciel Pinheiro,Campina Grande,aluizio ,0,Não comprou,Não está comprando,Ônibus,Não veio de carro,5,4,2,3,5,4,1993,"Até 1 SM (R$788,00)",Feminino,2015-08-08 13:27:35,2015-08-08 13:33:53,ca4bcc28ba
43027cb697ed3fc0b9c45ed7268945dd,Fernanda,Maciel Pinheiro,Campina Grande,ipanema,1,Não comprou,Não está comprando,Carro,Carona apenas ida,5,1,1,5,4,5,1955,"2 SM (R$1.576,00)",Masculino,2015-08-08 13:30:00,2015-08-08 13:33:46,8fccc5afa5
578ff177a269c46a1e30ed30747d0853,Hanna,Maciel Pinheiro,Campina Grande,Colombo,0,Não comprou,Nem começou,Ônibus,Não veio de carro,5,5,5,5,5,4,1986,"3 SM (R$2.364,00)",Feminino,2015-08-08 13:30:36,2015-08-08 13:35:54,a3debd4de2
9ac4b72958f1273a97fe91e5ab0e6fa5,Marihana,Maciel Pinheiro,Campina Grande,rio modas,1,Não comprou,Não está comprando,Carro,Estacionamento privado,5,5,5,1,3,1,1996,Não quis informar,Masculino,2015-08-08 13:30:48,2015-08-08 13:33:55,65449e1e24
a7110c99135dc46622080c3de94eaa16,Fernanda,Maciel Pinheiro,Campina Grande,rabelo,1,Não comprou,Não está comprando,Moto,Na rua,5,3,1,5,5,5,1996,"5 a 8 SM (R$3.941,00 - R$6.304,00)",Masculino,2015-08-08 13:33:53,2015-08-08 13:38:08,8fccc5afa5
6fabea2596710f00b5cb6dbc4532424e,Marihana,Maciel Pinheiro,Campina Grande,estacionamento priv,1,Não comprou,Não está comprando,Ônibus,Não veio de carro,3,3,3,3,5,5,1961,Não quis informar,Masculino,2015-08-08 13:34:05,2015-08-08 13:40:05,65449e1e24
1cf715c5ecd497e36804bdaed858953f,Pedro,Maciel Pinheiro,Campina Grande,lojao do colegial,0,"R$1,00 - R$50,00",Nem começou,Ônibus,Não veio de carro,5,5,3,3,5,4,1988,"2 SM (R$1.576,00)",Feminino,2015-08-08 13:34:17,2015-08-08 13:39:59,ca4bcc28ba
d010f38f9f7911a6414f04dea93fbd29,Hanna,Maciel Pinheiro,Serra redonds,Palheta,0,"R$51,00 - R$100,00",No meio,Ônibus,Não veio de carro,5,3,4,4,5,5,1995,"2 SM (R$1.576,00)",Feminino,2015-08-08 13:36:17,2015-08-08 13:43:53,a3debd4de2
e65e2e4c3752b378346a9e9d32ca8d7c,Fernanda,Maciel Pinheiro,Campina Grande,rua,0,Não comprou,Não está comprando,Ônibus,Não veio de carro,5,5,1,3,4,2,1997,"Até 1 SM (R$788,00)",Feminino,2015-08-08 13:38:17,2015-08-08 13:42:03,8fccc5afa5
550e5c0433b05f20baa692f358da79a6,Pedro,Maciel Pinheiro,Campina Grande,shopping da beleza,0,"R$101,00 - R$200,00",No meio,Carro,Na rua zona azul,5,4,2,4,5,4,1989,"2 SM (R$1.576,00)",Feminino,2015-08-08 13:40:28,2015-08-08 13:44:23,ca4bcc28ba
37ebdc7184e25d73040c610ad9b89cb7,Marihana,Maciel Pinheiro,Campina Grande,n,0,Não comprou,Não está comprando,Carro,Na rua,5,5,4,5,5,5,1974,Não quis informar,Masculino,2015-08-08 13:40:46,2015-08-08 13:42:40,65449e1e24
27e02a04c68886b89db38c3cb36d0ad9,Fernanda,Maciel Pinheiro,Campina Grande,lojas zhang,0,Não comprou,Não está comprando,Carro,Estacionamento privado,3,5,5,4,5,4,1968,"3 SM (R$2.364,00)",Masculino,2015-08-08 13:42:33,2015-08-08 13:47:18,8fccc5afa5
29a1c68606a55c241453f884faf5c37b,Marihana,Maciel Pinheiro,Coremas,n,0,Não comprou,Não está comprando,Carro,Estacionamento privado,3,4,4,3,4,3,1965,Não quis informar,Masculino,2015-08-08 13:42:57,2015-08-08 13:45:13,65449e1e24
