"id_eleicao","id_candidato","id_cidade","id_cargo","uf","votos_do_candidato","eleitores","votes_nominais"
131,112506,"61000",6,"SP",0,5438,4931
131,112506,"61018",6,"SP",0,21163,18303
131,112506,"61026",6,"SP",0,1646,1536
131,112506,"61034",6,"SP",0,2820,2444
131,112506,"61042",6,"SP",0,8761,7905
131,112506,"61050",6,"SP",0,18638,15332
131,112506,"61069",6,"SP",0,2779,2474
131,112506,"61077",6,"SP",0,5005,4354
131,112506,"61085",6,"SP",0,2806,2478
131,112506,"61093",6,"SP",0,10817,9130
131,112506,"61107",6,"SP",0,4058,3559
131,112506,"61115",6,"SP",0,2525,2209
131,112506,"61123",6,"SP",0,1305,1195
131,112506,"61131",6,"SP",0,22941,20307
131,112506,"61140",6,"SP",0,2704,2442
131,112506,"61158",6,"SP",0,3015,2663
131,112506,"61166",6,"SP",0,11114,9465
131,112506,"61174",6,"SP",0,2333,2146
131,112506,"61182",6,"SP",0,1986,1860
131,112506,"61190",6,"SP",0,10040,8435
131,112506,"61204",6,"SP",2,15550,13207
131,112506,"61212",6,"SP",0,2968,2423
131,112506,"61220",6,"SP",0,11704,10182
131,112506,"61239",6,"SP",0,3033,2734
131,112506,"61247",6,"SP",0,2143,2007
131,112506,"61255",6,"SP",0,14063,12055
131,112506,"61263",6,"SP",0,11009,9469
131,112506,"61271",6,"SP",0,2355,2026
131,112506,"61280",6,"SP",8,29157,25481
131,112506,"61298",6,"SP",0,2118,1913
131,112506,"61301",6,"SP",0,2278,2027
131,112506,"61310",6,"SP",0,142152,112923
131,112506,"61328",6,"SP",0,5093,4781
131,112506,"61336",6,"SP",0,21469,17522
131,112506,"61344",6,"SP",0,2922,2460
131,112506,"61352",6,"SP",0,3988,3540
131,112506,"61360",6,"SP",0,3494,3224
131,112506,"61379",6,"SP",1,42333,34983
131,112506,"61387",6,"SP",0,2090,1831
131,112506,"61395",6,"SP",0,2971,2604
131,112506,"61409",6,"SP",0,2700,2428
131,112506,"61417",6,"SP",0,34017,29094
131,112506,"61425",6,"SP",0,1625,1440
131,112506,"61433",6,"SP",0,13761,11946
131,112506,"61441",6,"SP",0,5263,4547
131,112506,"61450",6,"SP",0,4002,3679
131,112506,"61468",6,"SP",0,3367,2857
131,112506,"61476",6,"SP",0,2708,2440
131,112506,"61484",6,"SP",0,16782,15296
131,112506,"61492",6,"SP",0,23363,20294
131,112506,"61506",6,"SP",0,3669,3335
131,112506,"61514",6,"SP",0,3080,2789
131,112506,"61522",6,"SP",0,1481,1339
131,112506,"61530",6,"SP",0,14870,13217
131,112506,"61549",6,"SP",0,5453,4620
131,112506,"61557",6,"SP",2,112697,97986
131,112506,"61565",6,"SP",0,9099,7978
131,112506,"61573",6,"SP",0,17417,14950
131,112506,"61581",6,"SP",0,3292,2931
131,112506,"61590",6,"SP",0,3531,3091
131,112506,"61603",6,"SP",0,2169,1999
131,112506,"61611",6,"SP",0,4395,3801
131,112506,"61620",6,"SP",0,4108,3631
131,112506,"61638",6,"SP",5,128190,102375
131,112506,"61646",6,"SP",0,1847,1656
131,112506,"61654",6,"SP",0,78152,65661
131,112506,"61662",6,"SP",0,6836,5684
131,112506,"61670",6,"SP",0,4946,4064
131,112506,"61689",6,"SP",0,9645,8481
131,112506,"61697",6,"SP",0,2525,2267
131,112506,"61700",6,"SP",0,5340,4869
