### Cristina e Inácio - Média
>>> Uniform pM 0.333922411618 0.0 [0.333922411618,0.333922411618]
>>> Base Rate pM 0.349955002292 0.0 [0.349955002292,0.349955002292]
>>> Normal pM 0.31612258609 0.0 [0.31612258609,0.31612258609]

### Manoel, Maciel, Floriano e Edésio - Média
>>> Uniform pM 0.337643329985 0.0 [0.337643329985,0.337643329985]
>>> Base Rate pM 0.343896728 0.0 [0.343896728,0.343896728]
>>> Normal pM 0.318459942016 0.0 [0.318459942016,0.318459942016]



# Depois de 100.000 iterações para Manoel, Maciel, Floriano e Edésio

>>> Uniform pM 0.355984176852 0.00278983651619 [0.355984231533,0.355984122171]
>>> Base Rate pM 0.36257726058 0.00284150630079 [0.362577316274,0.362577204887]
>>> Normal pM 0.281438562568 0.00563134281699 [0.281438672942,0.281438452193]

# Depois de mais 100.000 iterações

>>> Uniform pM 0.375595281467 0.00246516075532 [0.375595329784,0.37559523315]
>>> Base Rate pM 0.38963670814 0.00255731945829 [0.389636758264,0.389636658017]
>>> Normal pM 0.234768010393 0.00502248021361 [0.234768108834,0.234767911952]

# 100.000 iterações com todas as ruas

>>> Uniform pM 0.33599565465 0.00214967837456 [0.335995696784,0.335995612517]
>>> Base Rate pM 0.363411698472 0.00232508444218 [0.363411744044,0.3634116529]
>>> Normal pM 0.300592646878 0.00447476281674 [0.300592734583,0.300592559172]

# 100.000 iterações para todas
>>> Uniform pM 0.355073457928 0.00302676009412 [0.355073517252,0.355073398603]
>>> Base Rate pM 0.38404618227 0.0032737328934 [0.384046246435,0.384046118105]
>>> Normal pM 0.260880359802 0.00630049298752 [0.260880483292,0.260880236312]

#Com retrofit (a cada iteração passa últimos pMs)
>>> Uniform pM 7.68148583345e-05 0.00412106151759 [7.68956311402e-05,7.67340855287e-05]
>>> Base Rate pM 0.999898641681 0.00598450064086 [0.999898758977,0.999898524384]
>>> Normal pM 2.45434611491e-05 0.00205752703184 [2.4583788679e-05,2.45031336193e-05]

# 100.000 iterações considerando apenas última rua em cada iteração
>>> Uniform pM 0.335997359493 0.00324747342001 [0.335997423143,0.335997295842]
>>> Base Rate pM 0.363413542423 0.00351245563737 [0.363413611268,0.363413473579]
>>> Normal pM 0.300589098084 0.00675992905737 [0.300589230578,0.300588965589]

# 700.000 iterações considerando apenas a última rua

>>> Uniform pM 0.336007126265 0.00324330287253 [0.336007135346,0.336007117183]
>>> Base Rate pM 0.363424106129 0.00350794478813 [0.363424115951,0.363424096307]
>>> Normal pM 0.300568767607 0.00675124766065 [0.30056878651,0.300568748703]










