comparison_id,date,ip_address,voter_latitude,voter_longitude,study,question,chosen_id,chosen_latitude,chosen_longitude,chosen_pitch,chosen_heading,chosen_region_name,chosen_image_url,rejected_id,rejected_latitude,rejected_longitude,rejected_pitch,rejected_heading,rejected_region_name,rejected_image_url
90137,2013-05-20 18:46:53 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40125,39.968342,-83.00562,0,240,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968342%2C-83.00562&heading=240&pitch=0&sensor=false,40123,39.993428,-83.006749,0,30,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.993428%2C-83.006749&heading=30&pitch=0&sensor=false
93587,2013-05-20 21:33:54 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40099,39.968379,-83.003653,0,179,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968379%2C-83.003653&heading=179&pitch=0&sensor=false,40143,39.957263,-82.999674,0,258,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.957263%2C-82.999674&heading=258&pitch=0&sensor=false
93588,2013-05-20 21:33:59 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40112,39.95587,-82.999403,0,193,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.95587%2C-82.999403&heading=193&pitch=0&sensor=false,40126,39.968092,-83.001785,0,290,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968092%2C-83.001785&heading=290&pitch=0&sensor=false
93589,2013-05-20 21:34:02 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40101,39.986452,-83.005395,0,18,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.986452%2C-83.005395&heading=18&pitch=0&sensor=false,40114,39.968239,-83.0068,0,166,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968239%2C-83.0068&heading=166&pitch=0&sensor=false
93590,2013-05-20 21:34:05 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40139,39.967354,-83.00163,0,153,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.967354%2C-83.00163&heading=153&pitch=0&sensor=false,40102,39.962479,-83.000695,0,271,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.962479%2C-83.000695&heading=271&pitch=0&sensor=false
93592,2013-05-20 21:34:08 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40135,39.960333,-83.000284,0,125,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.960333%2C-83.000284&heading=125&pitch=0&sensor=false,40112,39.95587,-82.999403,0,193,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.95587%2C-82.999403&heading=193&pitch=0&sensor=false
93594,2013-05-20 21:34:14 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40117,39.969774,-83.002111,0,108,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.969774%2C-83.002111&heading=108&pitch=0&sensor=false,40099,39.968379,-83.003653,0,179,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968379%2C-83.003653&heading=179&pitch=0&sensor=false
93595,2013-05-20 21:34:19 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40134,39.961254,-83.000456,0,97,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.961254%2C-83.000456&heading=97&pitch=0&sensor=false,40135,39.960333,-83.000284,0,125,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.960333%2C-83.000284&heading=125&pitch=0&sensor=false
93596,2013-05-20 21:34:23 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40126,39.968092,-83.001785,0,290,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968092%2C-83.001785&heading=290&pitch=0&sensor=false,40117,39.969774,-83.002111,0,108,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.969774%2C-83.002111&heading=108&pitch=0&sensor=false
93597,2013-05-20 21:34:27 UTC,71.66.236.144,41.5961,-83.4443,architectural-preferences,Which place looks more aesthetically pleasing? ,40126,39.968092,-83.001785,0,290,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.968092%2C-83.001785&heading=290&pitch=0&sensor=false,40102,39.962479,-83.000695,0,271,Short North to Downtown Columbus,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=39.962479%2C-83.000695&heading=271&pitch=0&sensor=false
