comparison_id,date,ip_address,voter_latitude,voter_longitude,study,question,chosen_id,chosen_latitude,chosen_longitude,chosen_pitch,chosen_heading,chosen_region_name,chosen_image_url,rejected_id,rejected_latitude,rejected_longitude,rejected_pitch,rejected_heading,rejected_region_name,rejected_image_url
41555,2013-05-17 02:33:35 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10985,45.395002,-75.747704,0,141,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.395002%2C-75.747704&heading=141&pitch=0&sensor=false,10990,45.395497,-75.746815,0,139,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.395497%2C-75.746815&heading=139&pitch=0&sensor=false
41556,2013-05-17 02:33:47 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10996,45.396747,-75.748916,0,100,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.396747%2C-75.748916&heading=100&pitch=0&sensor=false,10987,45.392422,-75.750278,0,22,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.392422%2C-75.750278&heading=22&pitch=0&sensor=false
41557,2013-05-17 02:33:57 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10954,45.406133,-75.687228,0,327,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.406133%2C-75.687228&heading=327&pitch=0&sensor=false,10974,45.390463,-75.754744,0,195,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.390463%2C-75.754744&heading=195&pitch=0&sensor=false
41558,2013-05-17 02:34:12 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10997,45.397964,-75.744222,0,149,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.397964%2C-75.744222&heading=149&pitch=0&sensor=false,10961,45.400765,-75.68975,0,235,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.400765%2C-75.68975&heading=235&pitch=0&sensor=false
41559,2013-05-17 02:34:20 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10960,45.398874,-75.69441,0,226,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.398874%2C-75.69441&heading=226&pitch=0&sensor=false,10944,45.401575,-75.698276,0,223,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.401575%2C-75.698276&heading=223&pitch=0&sensor=false
41560,2013-05-17 02:34:28 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10944,45.401575,-75.698276,0,223,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.401575%2C-75.698276&heading=223&pitch=0&sensor=false,10974,45.390463,-75.754744,0,195,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.390463%2C-75.754744&heading=195&pitch=0&sensor=false
41561,2013-05-17 02:34:35 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10949,45.407532,-75.685099,0,335,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.407532%2C-75.685099&heading=335&pitch=0&sensor=false,10957,45.399526,-75.690147,0,42,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.399526%2C-75.690147&heading=42&pitch=0&sensor=false
41562,2013-05-17 02:34:43 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10958,45.403459,-75.683227,0,59,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.403459%2C-75.683227&heading=59&pitch=0&sensor=false,10989,45.395775,-75.752249,0,312,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.395775%2C-75.752249&heading=312&pitch=0&sensor=false
41563,2013-05-17 02:34:52 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10953,45.40518,-75.691715,0,266,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.40518%2C-75.691715&heading=266&pitch=0&sensor=false,10975,45.393889,-75.755539,0,98,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.393889%2C-75.755539&heading=98&pitch=0&sensor=false
41564,2013-05-17 02:35:02 UTC,69.158.171.125,45.4167,-75.7,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10963,45.405704,-75.686009,0,252,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.405704%2C-75.686009&heading=252&pitch=0&sensor=false,10965,45.398491,-75.692398,0,111,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.398491%2C-75.692398&heading=111&pitch=0&sensor=false
47200,2013-05-17 13:52:37 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10953,45.40518,-75.691715,0,266,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.40518%2C-75.691715&heading=266&pitch=0&sensor=false,10981,45.39392,-75.753566,0,135,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.39392%2C-75.753566&heading=135&pitch=0&sensor=false
47201,2013-05-17 13:52:55 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10948,45.404777,-75.693229,0,267,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.404777%2C-75.693229&heading=267&pitch=0&sensor=false,10944,45.401575,-75.698276,0,223,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.401575%2C-75.698276&heading=223&pitch=0&sensor=false
47202,2013-05-17 13:53:07 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10975,45.393889,-75.755539,0,98,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.393889%2C-75.755539&heading=98&pitch=0&sensor=false,10987,45.392422,-75.750278,0,22,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.392422%2C-75.750278&heading=22&pitch=0&sensor=false
47203,2013-05-17 13:53:13 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10959,45.400384,-75.690752,0,160,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.400384%2C-75.690752&heading=160&pitch=0&sensor=false,10944,45.401575,-75.698276,0,223,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.401575%2C-75.698276&heading=223&pitch=0&sensor=false
47204,2013-05-17 13:53:21 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10975,45.393889,-75.755539,0,98,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.393889%2C-75.755539&heading=98&pitch=0&sensor=false,10992,45.391407,-75.757486,0,303,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.391407%2C-75.757486&heading=303&pitch=0&sensor=false
47205,2013-05-17 13:53:25 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10982,45.392061,-75.752022,0,164,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.392061%2C-75.752022&heading=164&pitch=0&sensor=false,10981,45.39392,-75.753566,0,135,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.39392%2C-75.753566&heading=135&pitch=0&sensor=false
47206,2013-05-17 13:53:33 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10983,45.394668,-75.75424,0,143,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.394668%2C-75.75424&heading=143&pitch=0&sensor=false,10982,45.392061,-75.752022,0,164,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.392061%2C-75.752022&heading=164&pitch=0&sensor=false
47208,2013-05-17 13:53:37 UTC,129.42.208.182,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10949,45.407532,-75.685099,0,335,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.407532%2C-75.685099&heading=335&pitch=0&sensor=false,10975,45.393889,-75.755539,0,98,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.393889%2C-75.755539&heading=98&pitch=0&sensor=false
47209,2013-05-17 13:53:38 UTC,129.42.208.183,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10988,45.396075,-75.741366,0,71,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.396075%2C-75.741366&heading=71&pitch=0&sensor=false,10981,45.39392,-75.753566,0,135,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.39392%2C-75.753566&heading=135&pitch=0&sensor=false
47211,2013-05-17 13:53:44 UTC,129.42.208.182,41.5861,-73.883,comparing-neighbourhoods-in-ottawa,Which place looks more pleasant?,10951,45.403409,-75.685429,0,97,Glebe,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.403409%2C-75.685429&heading=97&pitch=0&sensor=false,10993,45.395474,-75.753893,0,291,Westboro,http://maps.googleapis.com/maps/api/streetview?size=470x306&location=45.395474%2C-75.753893&heading=291&pitch=0&sensor=false
